(B) Sort...
/bin/rm: No match.
===> w1data/f0
4,170c4,7
< | Fri Apr  4 2008 | Royalty check            |      5,708.33  |      5,708.33  |
< | Tue Jan 26 2016 | Interest                 |      1,304.93  | (  145,907.59) |
< | Sun Feb 28 2016 | Department of water & po | (    6,283.35) | (  152,190.94) |
< | Wed May  4 2016 | Interest                 |      2,735.54  | (  149,455.40) |
< | Thu Dec  8 2016 | Cable TV                 | (    2,222.23) | (  151,677.63) |
< | Thu Dec 29 2016 | Gasoline                 | (    3,035.53) | (  154,713.16) |
< | Sun Jan 22 2017 | Royalty check            |      1,321.24  | (  153,391.92) |
< | Sun Mar 12 2017 | Gasoline                 | (    5,828.86) | (  159,220.78) |
< | Mon Apr  3 2017 | Phone bill               | (    2,265.39) | (  161,486.17) |
< | Sun May 21 2017 | Gasoline                 | (    4,802.06) | (  166,288.23) |
< | Fri Jun 30 2017 | Paycheck                 |        458.18  | (  165,830.05) |
< | Tue Oct  3 2017 | Phone bill               | (    6,212.19) | (  172,042.24) |
< | Thu Nov 16 2017 | Royalty check            |      2,885.48  | (  169,156.76) |
< | Tue Dec 26 2017 | Interest                 |      4,589.40  | (  164,567.36) |
< | Tue Jan 30 2018 | Bonus                    |      1,157.29  | (  163,410.07) |
< | Mon Feb 12 2018 | Rent                     | (    3,431.69) | (  166,841.76) |
< | Fri May 11 2018 | Gasoline                 | (    1,343.05) | (  168,184.81) |
< | Wed Jun  6 2018 | Royalty check            |      3,753.04  | (  164,431.77) |
< | Tue Jul 10 2018 | Cable TV                 | (    6,001.02) | (  170,432.79) |
< | Fri Jul 27 2018 | Gasoline                 | (    1,169.36) | (  171,602.15) |
< | Wed Aug  1 2018 | Rent                     | (    4,101.21) | (  175,703.36) |
< | Thu Sep  6 2018 | Bonus                    |      5,980.78  | (  169,722.58) |
< | Tue Sep 18 2018 | Cable TV                 | (    3,942.32) | (  173,664.90) |
< | Sat Oct 20 2018 | Phone bill               | (    2,842.43) | (  176,507.33) |
< | Fri Nov  9 2018 | Gas company              | (    4,439.86) | (  180,947.19) |
< | Sat Nov 10 2018 | Bonus                    |      4,655.19  | (  176,292.00) |
< | Mon Nov 26 2018 | Department of water & po | (    3,876.32) | (  180,168.32) |
< | Wed Jan 30 2019 | Cable TV                 | (    4,314.11) | (  184,482.43) |
< | Wed Feb  6 2019 | Rent                     | (    3,936.04) | (  188,418.47) |
< | Fri Feb 15 2019 | Paycheck                 |        350.52  | (  188,067.95) |
< | Thu Feb 28 2019 | Gasoline                 | (    1,567.02) | (  189,634.97) |
< | Wed Mar 20 2019 | Cable TV                 | (    1,589.96) | (  191,224.93) |
< | Fri Apr 19 2019 | Bonus                    |        401.06  | (  190,823.87) |
< | Mon May  6 2019 | Phone bill               | (      198.30) | (  191,022.17) |
< | Sun May 12 2019 | Royalty check            |      2,474.95  | (  188,547.22) |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f8
4,39c4,7
< | Sun Feb 17 2008 | Paycheck                 |      6,117.98  |      6,117.98  |
< | Fri Mar 14 2008 | Paycheck                 |      1,210.29  |      7,328.27  |
< | Mon Dec 15 2008 | Department of water & po | (    6,090.61) |      1,237.66  |
< | Thu Apr  9 2009 | Bonus                    |      3,860.81  |      5,098.47  |
< | Tue Apr 14 2009 | Gasoline                 | (    3,811.76) |      1,286.71  |
< | Sun Apr 26 2009 | Bonus                    |      6,049.85  |      7,336.56  |
< | Sun Oct 11 2009 | Paycheck                 |      4,122.52  |     11,459.08  |
< | Sat Nov 14 2009 | Royalty check            |      5,732.74  |     17,191.82  |
< | Wed Dec 23 2009 | Grocery                  | (      163.98) |     17,027.84  |
< | Fri Jan  8 2010 | Gas company              | (    5,290.88) |     11,736.96  |
< | Fri Mar  5 2010 | Phone bill               | (    5,307.59) |      6,429.37  |
< | Fri Mar 26 2010 | Rent                     | (    1,548.70) |      4,880.67  |
< | Tue Apr 13 2010 | Rent                     | (    3,762.90) |      1,117.77  |
< | Sun May 30 2010 | Paycheck                 |      5,044.11  |      6,161.88  |
< | Sun Aug  1 2010 | Paycheck                 |        987.43  |      7,149.31  |
< | Tue Sep 21 2010 | Paycheck                 |      5,920.76  |     13,070.07  |
< | Mon Jun 13 2011 | Grocery                  | (    2,997.91) |     10,072.16  |
< | Tue Sep  6 2011 | Paycheck                 |      4,124.55  |     14,196.71  |
< | Thu Sep  8 2011 | Department of water & po | (      539.52) |     13,657.19  |
< | Tue Jun 12 2012 | Interest                 |        291.55  |     13,948.74  |
< | Mon Dec  3 2012 | Royalty check            |      5,645.53  |     19,594.27  |
< | Sun Dec 30 2012 | Interest                 |         30.73  |     19,625.00  |
< | Mon Nov 11 2013 | Phone bill               | (    4,377.18) |     15,247.82  |
< | Sat Feb  1 2014 | Interest                 |      4,506.43  |     19,754.25  |
< | Mon May 26 2014 | Interest                 |      1,676.60  |     21,430.85  |
< | Sun Jan 25 2015 | Cable TV                 | (    5,965.98) |     15,464.87  |
< | Wed Mar  4 2015 | Interest                 |      1,303.32  |     16,768.19  |
< | Sat Aug  1 2015 | Rent                     | (      548.29) |     16,219.90  |
< | Fri May 27 2016 | Paycheck                 |      1,477.67  |     17,697.57  |
< | Tue Sep  6 2016 | Bonus                    |      2,247.13  |     19,944.70  |
< | Sun May 14 2017 | Department of water & po | (    1,664.71) |     18,279.99  |
< | Tue Aug 22 2017 | Phone bill               | (    4,205.88) |     14,074.11  |
< | Wed Aug 23 2017 | Gas company              | (    1,000.15) |     13,073.96  |
< | Wed Oct 25 2017 | Royalty check            |      4,913.07  |     17,987.03  |
< | Tue Mar  6 2018 | Cable TV                 | (    3,512.40) |     14,474.63  |
< | Thu Mar 15 2018 | Grocery                  | (    4,254.26) |     10,220.37  |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f9
4,116c4,7
< | Tue Jan 15 2008 | Paycheck                 |      2,428.89  |      2,428.89  |
< | Sat Jan 19 2008 | Grocery                  | (    6,135.77) | (    3,706.88) |
< | Sat Feb 16 2008 | Paycheck                 |          8.83  | (    3,698.05) |
< | Wed Feb 20 2008 | Bonus                    |      6,218.14  |      2,520.09  |
< | Sat Mar  8 2008 | Interest                 |      5,788.44  |      8,308.53  |
< | Sun May 25 2008 | Gasoline                 | (    2,004.77) |      6,303.76  |
< | Thu Aug 21 2008 | Interest                 |        186.39  |      6,490.15  |
< | Tue Oct  7 2008 | Interest                 |      4,941.89  |     11,432.04  |
< | Thu Oct 30 2008 | Phone bill               | (      970.38) |     10,461.66  |
< | Fri Nov  7 2008 | Interest                 |      4,365.57  |     14,827.23  |
< | Fri Jan 30 2009 | Cable TV                 | (    4,544.42) |     10,282.81  |
< | Tue Feb 24 2009 | Interest                 |      4,161.00  |     14,443.81  |
< | Thu Mar 19 2009 | Grocery                  | (      167.60) |     14,276.21  |
< | Tue Apr 21 2009 | Bonus                    |      2,561.56  |     16,837.77  |
< | Fri Jul  3 2009 | Gasoline                 | (    5,204.66) |     11,633.11  |
< | Fri Jul  3 2009 | Gasoline                 | (    3,267.87) |      8,365.24  |
< | Tue Nov 17 2009 | Bonus                    |      1,645.33  |     10,010.57  |
< | Sat Mar  6 2010 | Paycheck                 |      1,326.60  |     11,337.17  |
< | Mon Mar 29 2010 | Phone bill               | (      370.80) |     10,966.37  |
< | Fri Apr 16 2010 | Gas company              | (    3,042.40) |      7,923.97  |
< | Sat Apr 17 2010 | Gasoline                 | (    5,040.77) |      2,883.20  |
< | Thu May 20 2010 | Interest                 |      2,403.11  |      5,286.31  |
< | Tue Jun 29 2010 | Rent                     | (    2,435.41) |      2,850.90  |
< | Thu Jul  1 2010 | Paycheck                 |      2,812.38  |      5,663.28  |
< | Sat Aug  7 2010 | Phone bill               | (    3,126.34) |      2,536.94  |
< | Mon Oct 11 2010 | Royalty check            |      6,453.04  |      8,989.98  |
< | Sat Jan  1 2011 | Bonus                    |        158.96  |      9,148.94  |
< | Wed Jan  5 2011 | Bonus                    |      6,466.18  |     15,615.12  |
< | Sat May 14 2011 | Phone bill               | (    5,206.02) |     10,409.10  |
< | Sat Jun 11 2011 | Bonus                    |      3,404.07  |     13,813.17  |
< | Wed Jul 20 2011 | Bonus                    |        767.40  |     14,580.57  |
< | Tue Sep 20 2011 | Interest                 |      2,265.78  |     16,846.35  |
< | Fri Oct 14 2011 | Rent                     | (    4,331.41) |     12,514.94  |
< | Sun Nov 20 2011 | Gasoline                 | (    1,185.70) |     11,329.24  |
< | Sat Jan 14 2012 | Interest                 |      2,088.22  |     13,417.46  |
< | Sun Jan 15 2012 | Interest                 |        863.01  |     14,280.47  |
< | Wed Feb  1 2012 | Royalty check            |      4,540.73  |     18,821.20  |
< | Sun Feb  5 2012 | Bonus                    |      5,068.26  |     23,889.46  |
< | Wed Mar  7 2012 | Interest                 |        945.96  |     24,835.42  |
< | Thu Mar 15 2012 | Interest                 |      4,278.97  |     29,114.39  |
< | Sat Jul  7 2012 | Gas company              | (       16.79) |     29,097.60  |
< | Mon Sep 17 2012 | Bonus                    |      2,682.92  |     31,780.52  |
< | Thu Nov  1 2012 | Interest                 |      1,276.50  |     33,057.02  |
< | Mon Nov 12 2012 | Royalty check            |      2,517.83  |     35,574.85  |
< | Sat Nov 17 2012 | Interest                 |      2,074.85  |     37,649.70  |
< | Mon Dec 17 2012 | Interest                 |      1,191.75  |     38,841.45  |
< | Sun Jan 13 2013 | Department of water & po | (    2,412.03) |     36,429.42  |
< | Sun Feb  3 2013 | Bonus                    |      1,788.37  |     38,217.79  |
< | Wed Feb 27 2013 | Cable TV                 | (    5,156.13) |     33,061.66  |
< | Thu Mar 14 2013 | Grocery                  | (      485.69) |     32,575.97  |
< | Wed May  1 2013 | Royalty check            |        604.72  |     33,180.69  |
< | Sat Jun 29 2013 | Interest                 |      2,047.43  |     35,228.12  |
< | Sun Jul 21 2013 | Rent                     | (    2,069.70) |     33,158.42  |
< | Thu Aug  1 2013 | Grocery                  | (    4,276.78) |     28,881.64  |
< | Tue Sep  3 2013 | Grocery                  | (      595.14) |     28,286.50  |
< | Sun Sep 29 2013 | Royalty check            |      5,212.27  |     33,498.77  |
< | Wed Oct  2 2013 | Gasoline                 | (    2,720.12) |     30,778.65  |
< | Fri Oct  4 2013 | Royalty check            |      4,712.93  |     35,491.58  |
< | Mon Oct  7 2013 | Rent                     | (    5,098.41) |     30,393.17  |
< | Mon Oct 14 2013 | Gas company              | (    2,619.36) |     27,773.81  |
< | Mon Oct 14 2013 | Bonus                    |      2,470.80  |     30,244.61  |
< | Tue Oct 22 2013 | Phone bill               | (    3,500.47) |     26,744.14  |
< | Sat Dec 14 2013 | Grocery                  | (    2,374.48) |     24,369.66  |
< | Fri Oct  3 2014 | Department of water & po | (    4,900.93) |     19,468.73  |
< | Tue Oct 14 2014 | Bonus                    |        290.37  |     19,759.10  |
< | Tue Oct 21 2014 | Department of water & po | (    6,034.12) |     13,724.98  |
< | Sun Nov 16 2014 | Bonus                    |      6,241.73  |     19,966.71  |
< | Tue Dec  9 2014 | Paycheck                 |      2,307.14  |     22,273.85  |
< | Mon Dec 15 2014 | Royalty check            |      2,326.49  |     24,600.34  |
< | Sat Feb 21 2015 | Bonus                    |      3,574.10  |     28,174.44  |
< | Sat Mar 21 2015 | Bonus                    |      2,667.54  |     30,841.98  |
< | Thu May 14 2015 | Rent                     | (    6,393.01) |     24,448.97  |
< | Sun Sep 13 2015 | Gasoline                 | (    2,095.78) |     22,353.19  |
< | Wed Oct  7 2015 | Rent                     | (    5,445.74) |     16,907.45  |
< | Sat Oct 24 2015 | Department of water & po | (    1,239.97) |     15,667.48  |
< | Fri Oct 30 2015 | Royalty check            |      1,924.79  |     17,592.27  |
< | Tue Mar  8 2016 | Paycheck                 |      1,852.59  |     19,444.86  |
< | Sat Apr  2 2016 | Royalty check            |      4,395.16  |     23,840.02  |
< | Fri May  6 2016 | Royalty check            |        895.91  |     24,735.93  |
< | Sat Jun  4 2016 | Rent                     | (    1,334.87) |     23,401.06  |
< | Mon Jul  4 2016 | Grocery                  | (    5,507.13) |     17,893.93  |
< | Wed Jul 27 2016 | Royalty check            |      6,185.64  |     24,079.57  |
< | Thu Dec  1 2016 | Bonus                    |      6,092.77  |     30,172.34  |
< | Fri Dec  9 2016 | Royalty check            |      3,541.81  |     33,714.15  |
< | Tue Dec 20 2016 | Rent                     | (    5,119.52) |     28,594.63  |
< | Sun Feb 12 2017 | Phone bill               | (    5,446.38) |     23,148.25  |
< | Fri Apr 28 2017 | Gasoline                 | (    2,665.48) |     20,482.77  |
< | Sat Apr 29 2017 | Royalty check            |      6,020.75  |     26,503.52  |
< | Sat May  6 2017 | Cable TV                 | (    4,181.99) |     22,321.53  |
< | Sat May 20 2017 | Gasoline                 | (    2,068.87) |     20,252.66  |
< | Tue May 23 2017 | Gasoline                 | (    5,113.48) |     15,139.18  |
< | Mon Jun 26 2017 | Royalty check            |      1,696.49  |     16,835.67  |
< | Thu Jul 27 2017 | Gasoline                 | (    3,722.34) |     13,113.33  |
< | Fri Oct 20 2017 | Interest                 |      5,889.49  |     19,002.82  |
< | Thu Dec 28 2017 | Gas company              | (    5,833.45) |     13,169.37  |
< | Sun Jan  7 2018 | Paycheck                 |      4,276.19  |     17,445.56  |
< | Tue Feb  6 2018 | Phone bill               | (    1,378.21) |     16,067.35  |
< | Wed Feb  7 2018 | Bonus                    |      5,954.81  |     22,022.16  |
< | Sun Feb 11 2018 | Rent                     | (    2,301.79) |     19,720.37  |
< | Tue Feb 13 2018 | Royalty check            |      2,186.35  |     21,906.72  |
< | Sat Apr  7 2018 | Cable TV                 | (      836.42) |     21,070.30  |
< | Sun Apr 15 2018 | Royalty check            |      4,216.67  |     25,286.97  |
< | Wed Apr 18 2018 | Paycheck                 |      1,211.80  |     26,498.77  |
< | Fri Apr 20 2018 | Rent                     | (    5,679.40) |     20,819.37  |
< | Wed May  2 2018 | Royalty check            |      4,384.12  |     25,203.49  |
< | Fri Jun 22 2018 | Bonus                    |      5,346.50  |     30,549.99  |
< | Sat Jun 23 2018 | Interest                 |        273.98  |     30,823.97  |
< | Tue Oct  9 2018 | Phone bill               | (    6,158.15) |     24,665.82  |
< | Fri Oct 12 2018 | Bonus                    |      1,023.77  |     25,689.59  |
< | Sat Feb  2 2019 | Department of water & po | (      820.37) |     24,869.22  |
< | Sun Apr  7 2019 | Interest                 |      4,350.68  |     29,219.90  |
< | Sun Apr 28 2019 | Paycheck                 |        628.26  |     29,848.16  |
< | Wed May  8 2019 | Royalty check            |      6,216.99  |     36,065.15  |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f10
4,42c4,7
< | Wed Feb 13 2008 | Cable TV                 | (    4,022.90) | (    4,022.90) |
< | Sat Jul  5 2008 | Paycheck                 |      1,877.58  | (    2,145.32) |
< | Tue Dec  2 2008 | Interest                 |        362.56  | (    1,782.76) |
< | Mon Feb 16 2009 | Interest                 |      2,631.09  |        848.33  |
< | Sat Apr 18 2009 | Interest                 |      1,269.08  |      2,117.41  |
< | Fri Sep 11 2009 | Cable TV                 | (      977.88) |      1,139.53  |
< | Fri Dec 18 2009 | Gas company              | (    5,074.89) | (    3,935.36) |
< | Wed Dec 30 2009 | Department of water & po | (    2,714.23) | (    6,649.59) |
< | Tue Jan 12 2010 | Grocery                  | (    2,993.42) | (    9,643.01) |
< | Wed Feb 24 2010 | Gas company              | (      518.17) | (   10,161.18) |
< | Sun Apr  4 2010 | Gas company              | (    4,824.91) | (   14,986.09) |
< | Sat Jun 19 2010 | Gas company              | (    1,929.96) | (   16,916.05) |
< | Sun Aug 29 2010 | Royalty check            |      6,025.46  | (   10,890.59) |
< | Wed Oct 20 2010 | Bonus                    |      3,326.20  | (    7,564.39) |
< | Mon Dec  6 2010 | Cable TV                 | (    1,065.40) | (    8,629.79) |
< | Sat Feb 26 2011 | Department of water & po | (    2,385.68) | (   11,015.47) |
< | Sun Jul 17 2011 | Grocery                  | (    3,699.40) | (   14,714.87) |
< | Sun Jul 24 2011 | Gas company              | (    4,334.67) | (   19,049.54) |
< | Thu Oct 20 2011 | Gasoline                 | (    1,645.77) | (   20,695.31) |
< | Sun Sep  2 2012 | Cable TV                 | (    1,823.02) | (   22,518.33) |
< | Fri Oct 19 2012 | Royalty check            |        677.51  | (   21,840.82) |
< | Wed Jun 26 2013 | Cable TV                 | (    1,203.30) | (   23,044.12) |
< | Wed Oct 23 2013 | Royalty check            |      1,488.35  | (   21,555.77) |
< | Sat Oct 26 2013 | Grocery                  | (    5,242.17) | (   26,797.94) |
< | Sat Mar 29 2014 | Royalty check            |      3,798.74  | (   22,999.20) |
< | Wed Apr  2 2014 | Bonus                    |      2,214.50  | (   20,784.70) |
< | Tue Oct  7 2014 | Phone bill               | (    1,546.23) | (   22,330.93) |
< | Wed Nov 12 2014 | Gasoline                 | (    3,326.57) | (   25,657.50) |
< | Thu Jan 29 2015 | Department of water & po | (    3,372.10) | (   29,029.60) |
< | Sat Feb 14 2015 | Rent                     | (      603.58) | (   29,633.18) |
< | Tue May 19 2015 | Department of water & po | (    5,647.15) | (   35,280.33) |
< | Fri Feb 26 2016 | Paycheck                 |        386.33  | (   34,894.00) |
< | Fri Mar  4 2016 | Paycheck                 |      3,348.26  | (   31,545.74) |
< | Fri May 27 2016 | Gasoline                 | (    1,714.43) | (   33,260.17) |
< | Tue Oct 16 2018 | Royalty check            |      2,873.65  | (   30,386.52) |
< | Tue Nov  6 2018 | Royalty check            |      5,924.80  | (   24,461.72) |
< | Sun Nov 11 2018 | Gasoline                 | (    1,354.45) | (   25,816.17) |
< | Thu Jan  3 2019 | Phone bill               | (    1,608.77) | (   27,424.94) |
< | Thu Jan 17 2019 | Paycheck                 |      6,305.91  | (   21,119.03) |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f11
4,47c4,7
< | Sun Jan 27 2008 | Grocery                  | (    4,417.76) | (    4,417.76) |
< | Wed Dec 24 2008 | Gas company              | (    3,925.42) | (    8,343.18) |
< | Thu Feb 19 2009 | Paycheck                 |      2,449.75  | (    5,893.43) |
< | Sun Apr 19 2009 | Bonus                    |      5,853.97  | (       39.46) |
< | Thu Apr 30 2009 | Phone bill               | (      465.75) | (      505.21) |
< | Wed Feb 24 2010 | Grocery                  | (    4,627.27) | (    5,132.48) |
< | Fri Apr 23 2010 | Interest                 |      3,573.51  | (    1,558.97) |
< | Sun Jun 13 2010 | Bonus                    |      4,984.44  |      3,425.47  |
< | Fri Oct 29 2010 | Grocery                  | (      523.99) |      2,901.48  |
< | Sun Jan 23 2011 | Royalty check            |      1,110.91  |      4,012.39  |
< | Sun Apr 24 2011 | Interest                 |      3,649.04  |      7,661.43  |
< | Sat Jun 25 2011 | Royalty check            |      5,710.08  |     13,371.51  |
< | Tue Oct 18 2011 | Gas company              | (    3,051.07) |     10,320.44  |
< | Thu Nov 17 2011 | Paycheck                 |      2,172.68  |     12,493.12  |
< | Fri Dec 23 2011 | Rent                     | (    3,612.39) |      8,880.73  |
< | Sun Feb  5 2012 | Cable TV                 | (    5,953.79) |      2,926.94  |
< | Thu Jun 14 2012 | Phone bill               | (      765.47) |      2,161.47  |
< | Thu Jun 21 2012 | Interest                 |      3,446.35  |      5,607.82  |
< | Fri Nov 16 2012 | Rent                     | (    1,763.19) |      3,844.63  |
< | Sat Dec 22 2012 | Bonus                    |        943.16  |      4,787.79  |
< | Wed Jan 23 2013 | Grocery                  | (    3,279.84) |      1,507.95  |
< | Fri May 17 2013 | Phone bill               | (    5,562.77) | (    4,054.82) |
< | Fri Jul  5 2013 | Bonus                    |      5,505.64  |      1,450.82  |
< | Fri Jul  5 2013 | Cable TV                 | (    3,497.04) | (    2,046.22) |
< | Mon Sep 30 2013 | Phone bill               | (    4,429.93) | (    6,476.15) |
< | Sat Dec  7 2013 | Bonus                    |      3,267.09  | (    3,209.06) |
< | Thu Dec 12 2013 | Phone bill               | (    3,437.34) | (    6,646.40) |
< | Thu Jan 30 2014 | Royalty check            |      2,325.22  | (    4,321.18) |
< | Sun Apr 13 2014 | Rent                     | (    3,679.89) | (    8,001.07) |
< | Sun May  4 2014 | Rent                     | (    1,019.27) | (    9,020.34) |
< | Fri Jan 23 2015 | Cable TV                 | (    3,249.57) | (   12,269.91) |
< | Wed Feb 18 2015 | Department of water & po | (    3,095.22) | (   15,365.13) |
< | Fri Feb 20 2015 | Phone bill               | (    4,298.14) | (   19,663.27) |
< | Thu Aug  6 2015 | Interest                 |      1,856.32  | (   17,806.95) |
< | Tue May 24 2016 | Bonus                    |      4,073.38  | (   13,733.57) |
< | Thu Jul 28 2016 | Phone bill               | (    4,778.59) | (   18,512.16) |
< | Sun Aug 14 2016 | Bonus                    |      1,492.13  | (   17,020.03) |
< | Sat Apr  1 2017 | Paycheck                 |      5,456.49  | (   11,563.54) |
< | Fri Jul 21 2017 | Interest                 |      6,016.35  | (    5,547.19) |
< | Wed Aug  9 2017 | Royalty check            |      5,448.24  | (       98.95) |
< | Sun Jan  7 2018 | Bonus                    |      1,600.81  |      1,501.86  |
< | Tue Jul 24 2018 | Royalty check            |      1,605.61  |      3,107.47  |
< | Sun Oct  7 2018 | Gas company              | (    1,629.33) |      1,478.14  |
< | Fri Feb  8 2019 | Bonus                    |      3,024.97  |      4,503.11  |
---
> | Thu Aug 21 2008 | Initial deposit          |      1,723.00  |      1,723.00  |
> | Wed Dec 31 2008 | Phone bill               | (       45.33) |      1,677.67  |
> | Mon Jul 13 2009 | Dear parents             |     10,388.07  |     12,065.74  |
> | Sun Jan 10 2010 | Beemer monthly payment - | (      654.32) |     11,411.42  |
===> w1data/f12
4,111c4,7
< | Thu Feb 21 2008 | Grocery                  | (    3,973.59) | (    3,973.59) |
< | Tue Apr 15 2008 | Royalty check            |      5,436.10  |      1,462.51  |
< | Wed May 28 2008 | Interest                 |      4,608.10  |      6,070.61  |
< | Sun Jun 15 2008 | Bonus                    |      2,456.95  |      8,527.56  |
< | Fri Jul 11 2008 | Phone bill               | (    2,077.04) |      6,450.52  |
< | Thu Sep  4 2008 | Gas company              | (    6,324.70) |        125.82  |
< | Sun Sep 14 2008 | Interest                 |      6,374.40  |      6,500.22  |
< | Tue Sep 30 2008 | Bonus                    |      1,224.63  |      7,724.85  |
< | Mon Oct 13 2008 | Department of water & po | (    3,640.19) |      4,084.66  |
< | Tue Dec  2 2008 | Bonus                    |      4,720.44  |      8,805.10  |
< | Fri Jan  9 2009 | Phone bill               | (    5,329.44) |      3,475.66  |
< | Fri Apr 10 2009 | Bonus                    |      2,288.92  |      5,764.58  |
< | Sat Apr 11 2009 | Gasoline                 | (    4,145.69) |      1,618.89  |
< | Mon Aug 10 2009 | Gas company              | (    4,562.96) | (    2,944.07) |
< | Wed Aug 19 2009 | Royalty check            |      1,969.53  | (      974.54) |
< | Tue Sep 22 2009 | Royalty check            |      2,341.02  |      1,366.48  |
< | Tue Dec 22 2009 | Bonus                    |      5,804.19  |      7,170.67  |
< | Sat Dec 26 2009 | Paycheck                 |      1,531.23  |      8,701.90  |
< | Wed Apr 21 2010 | Grocery                  | (    3,499.91) |      5,201.99  |
< | Sat Apr 24 2010 | Royalty check            |      1,883.57  |      7,085.56  |
< | Wed May  5 2010 | Gasoline                 | (    1,135.19) |      5,950.37  |
< | Mon May 24 2010 | Department of water & po | (    2,389.81) |      3,560.56  |
< | Tue Jun 22 2010 | Paycheck                 |      4,540.98  |      8,101.54  |
< | Tue Jun 29 2010 | Rent                     | (      767.94) |      7,333.60  |
< | Wed Jun 30 2010 | Royalty check            |      3,523.22  |     10,856.82  |
< | Thu Jul  1 2010 | Interest                 |      6,277.96  |     17,134.78  |
< | Thu Jul  1 2010 | Bonus                    |      6,390.45  |     23,525.23  |
< | Sat Oct  9 2010 | Gas company              | (    6,348.23) |     17,177.00  |
< | Sat Nov 20 2010 | Interest                 |      4,800.55  |     21,977.55  |
< | Sun Nov 21 2010 | Grocery                  | (      996.05) |     20,981.50  |
< | Tue Nov 30 2010 | Gas company              | (    2,630.61) |     18,350.89  |
< | Fri Jan  7 2011 | Cable TV                 | (    5,154.35) |     13,196.54  |
< | Thu Jun  2 2011 | Paycheck                 |      5,271.07  |     18,467.61  |
< | Mon Jun 20 2011 | Grocery                  | (    2,622.05) |     15,845.56  |
< | Sat Jul  2 2011 | Royalty check            |      1,318.96  |     17,164.52  |
< | Fri Aug 12 2011 | Gas company              | (      961.65) |     16,202.87  |
< | Tue Sep  6 2011 | Cable TV                 | (    2,210.68) |     13,992.19  |
< | Sat Oct  8 2011 | Paycheck                 |      4,807.18  |     18,799.37  |
< | Wed Oct 26 2011 | Bonus                    |      5,295.09  |     24,094.46  |
< | Fri Feb  3 2012 | Interest                 |      2,527.97  |     26,622.43  |
< | Tue Mar 13 2012 | Cable TV                 | (    3,169.70) |     23,452.73  |
< | Thu Apr 26 2012 | Interest                 |      1,099.01  |     24,551.74  |
< | Sun May 27 2012 | Department of water & po | (    3,550.62) |     21,001.12  |
< | Wed Jul 18 2012 | Phone bill               | (    4,480.67) |     16,520.45  |
< | Fri Aug 31 2012 | Grocery                  | (      233.19) |     16,287.26  |
< | Sat Sep  1 2012 | Gas company              | (    4,984.80) |     11,302.46  |
< | Tue Sep  4 2012 | Royalty check            |      5,767.57  |     17,070.03  |
< | Tue Sep  4 2012 | Rent                     | (    5,886.18) |     11,183.85  |
< | Mon Oct  8 2012 | Paycheck                 |      4,447.50  |     15,631.35  |
< | Sun Nov 25 2012 | Cable TV                 | (    3,460.97) |     12,170.38  |
< | Mon Dec 31 2012 | Gasoline                 | (    4,052.12) |      8,118.26  |
< | Thu Jan 17 2013 | Gas company              | (    1,838.71) |      6,279.55  |
< | Mon Feb  4 2013 | Gas company              | (    2,795.30) |      3,484.25  |
< | Fri Apr 19 2013 | Gasoline                 | (    4,880.90) | (    1,396.65) |
< | Sat Jun 15 2013 | Royalty check            |      5,350.17  |      3,953.52  |
< | Thu Sep 26 2013 | Department of water & po | (    2,344.90) |      1,608.62  |
< | Mon Dec 16 2013 | Bonus                    |      6,279.99  |      7,888.61  |
< | Wed Jan 29 2014 | Rent                     | (    3,121.38) |      4,767.23  |
< | Fri Jan 31 2014 | Rent                     | (    4,210.80) |        556.43  |
< | Tue Mar  4 2014 | Gasoline                 | (    4,163.25) | (    3,606.82) |
< | Wed Apr 16 2014 | Bonus                    |      3,567.27  | (       39.55) |
< | Mon Apr 28 2014 | Gas company              | (    3,516.27) | (    3,555.82) |
< | Tue May 27 2014 | Rent                     | (    1,027.68) | (    4,583.50) |
< | Fri May 30 2014 | Phone bill               | (    5,566.91) | (   10,150.41) |
< | Sat Jul  5 2014 | Interest                 |        420.67  | (    9,729.74) |
